date,region,patients,geoOrder
23/04/2020,London,2928,5
23/04/2020,Midlands,2354,3
23/04/2020,North East and Yorkshire,2095,2
23/04/2020,North West,2445,1
23/04/2020,South East,1747,6
23/04/2020,South West,677,7
24/04/2020,East of England,1228,4
24/04/2020,London,2737,5
24/04/2020,Midlands,2245,3
24/04/2020,North East and Yorkshire,2054,2
24/04/2020,North West,2338,1
24/04/2020,South East,1682,6
24/04/2020,South West,647,7
25/04/2020,East of England,1203,4
25/04/2020,London,2688,5
25/04/2020,Midlands,2000,3
25/04/2020,North East and Yorkshire,2018,2
25/04/2020,North West,2281,1
25/04/2020,South East,1597,6
25/04/2020,South West,625,7
26/04/2020,East of England,1227,4
26/04/2020,London,2615,5
26/04/2020,Midlands,2111,3
26/04/2020,North East and Yorkshire,1963,2
26/04/2020,North West,2277,1
26/04/2020,South East,1524,6
26/04/2020,South West,611,7
27/04/2020,East of England,1205,4
27/04/2020,London,2614,5
27/04/2020,Midlands,2109,3
27/04/2020,North East and Yorkshire,2007,2
27/04/2020,North West,2306,1
27/04/2020,South East,1568,6
27/04/2020,South West,589,7
28/04/2020,East of England,1195,4
28/04/2020,London,2304,5
28/04/2020,Midlands,2047,3
28/04/2020,North East and Yorkshire,1973,2
28/04/2020,North West,2168,1
28/04/2020,South East,1541,6
28/04/2020,South West,590,7
29/04/2020,East of England,1138,4
29/04/2020,London,2335,5
29/04/2020,Midlands,1935,3
29/04/2020,North East and Yorkshire,1911,2
29/04/2020,North West,2218,1
29/04/2020,South East,1489,6
29/04/2020,South West,547,7
30/04/2020,East of England,1067,4
30/04/2020,London,2235,5
30/04/2020,Midlands,1921,3
30/04/2020,North East and Yorkshire,1862,2
30/04/2020,North West,2178,1
30/04/2020,South East,1465,6
30/04/2020,South West,525,7
01/05/2020,East of England,1033,4
01/05/2020,London,2152,5
01/05/2020,Midlands,1873,3
01/05/2020,North East and Yorkshire,1854,2
01/05/2020,North West,2150,1
01/05/2020,South East,1407,6
01/05/2020,South West,501,7
02/05/2020,East of England,1021,4
