nation,date,dailyCases,totalCases
Scotland,30-May-20,55,15382
Wales,30-May-20,86,13913
England,31-May-20,320,152176
Northern Ireland,31-May-20,7,4716
Scotland,31-May-20,18,15400
Wales,31-May-20,82,13995
England,01-Jun-20,294,152470
Northern Ireland,01-Jun-20,12,4728
Scotland,01-Jun-20,18,15418
Wales,01-Jun-20,59,14054
England,02-Jun-20,444,152914
Northern Ireland,02-Jun-20,4,4732
Scotland,02-Jun-20,53,15471
Wales,02-Jun-20,67,14121
England,03-Jun-20,462,153376
Northern Ireland,03-Jun-20,8,4740
Scotland,03-Jun-20,33,15504
Wales,03-Jun-20,82,14203
England,04-Jun-20,431,153807
Northern Ireland,04-Jun-20,33,4773
Scotland,04-Jun-20,49,15553
Wales,04-Jun-20,35,14238
England,05-Jun-20,451,154258
Northern Ireland,05-Jun-20,3,4776
Scotland,05-Jun-20,29,15582
Wales,05-Jun-20,76,14314
England,06-Jun-20,422,154680
Northern Ireland,06-Jun-20,14,4790
Scotland,06-Jun-20,21,15603
Wales,06-Jun-20,42,14356
England,07-Jun-20,228,154908
Northern Ireland,07-Jun-20,6,4796
Scotland,07-Jun-20,18,15621
Wales,07-Jun-20,40,14396
England,08-Jun-20,92,155000
Northern Ireland,08-Jun-20,6,4802
Scotland,08-Jun-20,18,15639
Wales,08-Jun-20,42,14438
England,09-Jun-20,651,155651
Northern Ireland,09-Jun-20,3,4805
Scotland,09-Jun-20,14,15653
Wales,09-Jun-20,42,14480
England,10-Jun-20,63,155714
Northern Ireland,10-Jun-20,13,4818
Scotland,10-Jun-20,12,15665
Wales,10-Jun-20,38,14518
England,11-Jun-20,304,156018
Northern Ireland,11-Jun-20,4,4822
Scotland,11-Jun-20,17,15682
Wales,11-Jun-20,63,14581
England,12-Jun-20,392,156410
Northern Ireland,12-Jun-20,16,4838
Scotland,12-Jun-20,27,15709
Wales,12-Jun-20,77,14658
England,13-Jun-20,372,156782
Northern Ireland,13-Jun-20,3,4841
Scotland,13-Jun-20,21,15730
Wales,13-Jun-20,45,14703
England,14-Jun-20,292,157074
Northern Ireland,14-Jun-20,7,4848
Scotland,14-Jun-20,25,15755
Wales,14-Jun-20,39,14742
England,15-Jun-20,219,157293
Northern Ireland,15-Jun-20,4,4852
Scotland,15-Jun-20,29,18030
Wales,15-Jun-20,62,14804
England,16-Jun-20,252,157545
Northern Ireland,16-Jun-20,2,4854
Scotland,16-Jun-20,15,18045
Wales,16-Jun-20,65,14869
England,17-Jun-20,252,157797
Northern Ireland,17-Jun-20,8,4862
Scotland,17-Jun-20,21,18066
Wales,17-Jun-20,53,14922
England,18-Jun-20,281,158078
Northern Ireland,18-Jun-20,1,4863
Scotland,18-Jun-20,11,18077
Wales,18-Jun-20,48,14970
England,19-Jun-20,323,158401
Northern Ireland,19-Jun-20,3,4866
Scotland,19-Jun-20,27,18104
Wales,19-Jun-20,31,15001
England,20-Jun-20,324,158725
Northern Ireland,20-Jun-20,0,4866
Scotland,20-Jun-20,26,18130
Wales,20-Jun-20,25,15026
England,21-Jun-20,215,158940
Northern Ireland,21-Jun-20,4,4870
Scotland,21-Jun-20,26,18156
Wales,21-Jun-20,100,15126
England,22-Jun-20,178,159118
Northern Ireland,22-Jun-20,1,4871
Scotland,22-Jun-20,14,18170
Wales,22-Jun-20,71,15197
England,23-Jun-20,210,159328
Northern Ireland,23-Jun-20,0,4871
Scotland,23-Jun-20,12,18182
Wales,23-Jun-20,51,15295
England,24-Jun-20,107,159435
Northern Ireland,24-Jun-20,2,4873
Scotland,24-Jun-20,9,18191
Wales,24-Jun-20,47,15341
England,25-Jun-20,261,159696
Northern Ireland,25-Jun-20,1,4874
Scotland,25-Jun-20,5,18196
Wales,25-Jun-20,125,15466
England,26-Jun-20,175,159958
Northern Ireland,26-Jun-20,4,5748
Scotland,26-Jun-20,17,18213
Wales,26-Jun-20,65,15531
England,27-Jun-20,192,160150
Northern Ireland,27-Jun-20,2,5750
Scotland,27-Jun-20,15,18228
Wales,27-Jun-20,46,15577
England,28-Jun-20,142,160292
Northern Ireland,28-Jun-20,1,5751
Scotland,28-Jun-20,8,18236
Wales,28-Jun-20,25,15602
England,29-Jun-20,99,160391
Northern Ireland,29-Jun-20,6,5757
Scotland,29-Jun-20,5,18241
Wales,29-Jun-20,116,15717
England,30-Jun-20,196,160587
Northern Ireland,30-Jun-20,3,5760
Scotland,30-Jun-20,10,18251
Wales,30-Jun-20,26,15743
England,01-Jul-20,177,160764
Northern Ireland,01-Jul-20,1,5761
Scotland,01-Jul-20,8,18259
Wales,01-Jul-20,32,15775
England,02-Jul-20,523,243910
Northern Ireland,02-Jul-20,7,5768
Scotland,02-Jul-20,5,18264
Wales,02-Jul-20,41,15815
England,03-Jul-20,502,244412
Northern Ireland,03-Jul-20,4,5747
Scotland,03-Jul-20,12,18276
Wales,03-Jul-20,26,15841
England,04-Jul-20,579,244991
Northern Ireland,04-Jul-20,0,5747
Scotland,04-Jul-20,11,18287
Wales,04-Jul-20,34,15875
England,05-Jul-20,492,245483
Northern Ireland,05-Jul-20,0,5747
Scotland,05-Jul-20,9,18296
Wales,05-Jul-20,15,15890
England,06-Jul-20,331,245814
Northern Ireland,06-Jul-20,0,5756
Scotland,06-Jul-20,4,18300
Wales,06-Jul-20,8,15898
England,07-Jul-20,572,246386
Northern Ireland,07-Jul-20,5,5761
Scotland,07-Jul-20,2,18302
Wales,07-Jul-20,2,15900
England,08-Jul-20,606,246992
Northern Ireland,08-Jul-20,4,5765
Scotland,08-Jul-20,7,18309
Wales,08-Jul-20,13,15913
England,09-Jul-20,617,247609
Northern Ireland,09-Jul-20,3,5768
Scotland,09-Jul-20,6,18315
Wales,09-Jul-20,16,15929
England,10-Jul-20,480,248089
Northern Ireland,10-Jul-20,4,5772
Scotland,10-Jul-20,18,18333
Wales,10-Jul-20,10,15939
England,11-Jul-20,806,248895
Northern Ireland,11-Jul-20,0,5772
Scotland,11-Jul-20,7,18340
Wales,11-Jul-20,7,15946
England,12-Jul-20,615,249510
Northern Ireland,12-Jul-20,0,5772
Scotland,12-Jul-20,19,18359
Wales,12-Jul-20,16,15962
England,13-Jul-20,497,250007
Northern Ireland,13-Jul-20,0,5788
Scotland,13-Jul-20,6,18365
Wales,13-Jul-20,11,15973
England,14-Jul-20,372,250379
Northern Ireland,14-Jul-20,2,5790
Scotland,14-Jul-20,3,18368
Wales,14-Jul-20,21,16836
England,15-Jul-20,506,250885
Northern Ireland,15-Jul-20,9,5799
Scotland,15-Jul-20,5,18373
Wales,15-Jul-20,18,16854
England,16-Jul-20,597,251482
Northern Ireland,16-Jul-20,16,5815
Scotland,16-Jul-20,11,18384
Wales,16-Jul-20,18,16871
England,17-Jul-20,635,252117
Northern Ireland,17-Jul-20,19,5834
Scotland,17-Jul-20,17,18401
Wales,17-Jul-20,16,16887
England,18-Jul-20,796,252913
Northern Ireland,18-Jul-20,0,5834
Scotland,18-Jul-20,21,18422
Wales,18-Jul-20,10,16897
England,19-Jul-20,672,253585
Northern Ireland,19-Jul-20,0,5834
Scotland,19-Jul-20,23,18445
Wales,19-Jul-20,31,16928
England,20-Jul-20,535,254120
Northern Ireland,20-Jul-20,0,5857
Scotland,20-Jul-20,7,18452
Wales,20-Jul-20,15,16943
England,21-Jul-20,399,254519
Northern Ireland,21-Jul-20,2,5859
Scotland,21-Jul-20,22,18474
Wales,21-Jul-20,22,16965
England,22-Jul-20,519,255038
Northern Ireland,22-Jul-20,9,5868
Scotland,22-Jul-20,10,18484
Wales,22-Jul-20,22,16987
England,23-Jul-20,702,255740
Northern Ireland,23-Jul-20,8,5876
Scotland,23-Jul-20,16,18500
Wales,23-Jul-20,43,17030
England,24-Jul-20,688,256428
Northern Ireland,24-Jul-20,15,5891
Scotland,24-Jul-20,20,18520
Wales,24-Jul-20,45,17075
England,25-Jul-20,710,257138
Northern Ireland,25-Jul-20,0,5891
Scotland,25-Jul-20,27,18547
Wales,25-Jul-20,30,17105
England,26-Jul-20,721,257859
Northern Ireland,26-Jul-20,0,5891
Scotland,26-Jul-20,4,18551
Wales,26-Jul-20,22,17125
England,27-Jul-20,616,258475
Northern Ireland,27-Jul-20,0,5912
Scotland,27-Jul-20,3,18554
Wales,27-Jul-20,45,17170
England,28-Jul-20,547,259022
Northern Ireland,28-Jul-20,9,5921
Scotland,28-Jul-20,4,18558
Wales,28-Jul-20,21,17191
England,29-Jul-20,700,259722
Northern Ireland,29-Jul-20,9,5930
Scotland,29-Jul-20,22,18580
Wales,29-Jul-20,32,17223
England,30-Jul-20,812,260534
Northern Ireland,30-Jul-20,8,5938
Scotland,30-Jul-20,17,18597
Wales,30-Jul-20,9,17232
England,31-Jul-20,814,261348
Northern Ireland,31-Jul-20,10,5948
Scotland,31-Jul-20,30,18627
Wales,31-Jul-20,26,17258
England,01-Aug-20,722,262070
Northern Ireland,01-Aug-20,0,5948
Scotland,01-Aug-20,18,18645
Wales,01-Aug-20,21,17279
England,02-Aug-20,676,262746
Northern Ireland,02-Aug-20,0,5948
Scotland,02-Aug-20,31,18676
Wales,02-Aug-20,37,17315
England,03-Aug-20,856,263602
Northern Ireland,03-Aug-20,0,5988
Scotland,03-Aug-20,18,18694
Wales,03-Aug-20,24,17339
England,04-Aug-20,617,264219
Northern Ireland,04-Aug-20,8,5996
Scotland,04-Aug-20,23,18717
Wales,04-Aug-20,22,17361
England,05-Aug-20,804,265023
Northern Ireland,05-Aug-20,10,6006
Scotland,05-Aug-20,64,18781
Wales,05-Aug-20,14,17374
England,06-Aug-20,826,265849
Northern Ireland,06-Aug-20,43,6049
Scotland,06-Aug-20,66,18847
Wales,06-Aug-20,15,17389
England,07-Aug-20,796,266645
Northern Ireland,07-Aug-20,15,6064
Scotland,07-Aug-20,43,18890
Wales,07-Aug-20,17,17406
England,08-Aug-20,679,267324
Northern Ireland,08-Aug-20,0,6064
Scotland,08-Aug-20,60,18950
Wales,08-Aug-20,19,17425
England,09-Aug-20,988,268312
Northern Ireland,09-Aug-20,0,6064
Scotland,09-Aug-20,48,18998
Wales,09-Aug-20,26,17451
England,10-Aug-20,699,269011
Northern Ireland,10-Aug-20,0,6140
Scotland,10-Aug-20,29,19027
Wales,10-Aug-20,12,17463
England,11-Aug-20,1035,270046
Northern Ireland,11-Aug-20,48,6188
Scotland,11-Aug-20,52,19079
Wales,11-Aug-20,13,17476
England,12-Aug-20,925,270971
Northern Ireland,12-Aug-20,29,6217
Scotland,12-Aug-20,47,19126
Wales,12-Aug-20,8,17484
England,13-Aug-20,1059,272030
Northern Ireland,13-Aug-20,8,6225
Scotland,13-Aug-20,47,19173
Wales,13-Aug-20,15,17499
England,14-Aug-20,1284,273314
Northern Ireland,14-Aug-20,74,6299
Scotland,14-Aug-20,65,19238
Wales,14-Aug-20,18,17516
England,15-Aug-20,934,274248
Northern Ireland,15-Aug-20,65,6364
Scotland,15-Aug-20,51,19289
Wales,15-Aug-20,27,17543
England,16-Aug-20,952,275200
Northern Ireland,16-Aug-20,27,6391
Scotland,16-Aug-20,43,19332
Wales,16-Aug-20,18,17561
England,17-Aug-20,634,275834
Northern Ireland,17-Aug-20,39,6430
Scotland,17-Aug-20,26,19358
Wales,17-Aug-20,14,17575
England,18-Aug-20,975,276809
Northern Ireland,18-Aug-20,41,6471
Scotland,18-Aug-20,49,19407
Wales,18-Aug-20,24,17599
England,19-Aug-20,707,277516
Northern Ireland,19-Aug-20,34,6505
Scotland,19-Aug-20,50,19457
Wales,19-Aug-20,21,17620
England,20-Aug-20,1035,278551
Northern Ireland,20-Aug-20,51,6556
Scotland,20-Aug-20,77,19534
Wales,20-Aug-20,19,17639
England,21-Aug-20,908,279459
Northern Ireland,21-Aug-20,20,6576
Scotland,21-Aug-20,71,19605
Wales,21-Aug-20,34,17673
England,22-Aug-20,1060,280519
Northern Ireland,22-Aug-20,71,6647
Scotland,22-Aug-20,123,19728
Wales,22-Aug-20,34,17707
England,23-Aug-20,938,281457
Northern Ireland,23-Aug-20,119,6766
Scotland,23-Aug-20,83,19811
Wales,23-Aug-20,20,17727
England,24-Aug-20,758,282215
Northern Ireland,24-Aug-20,10,6776
Scotland,24-Aug-20,66,19877
Wales,24-Aug-20,19,17746
England,25-Aug-20,1065,283280
Northern Ireland,25-Aug-20,47,6823
Scotland,25-Aug-20,44,19921
Wales,25-Aug-20,28,17774
England,26-Aug-20,875,284155
Northern Ireland,26-Aug-20,72,6895
Scotland,26-Aug-20,67,19988
Wales,26-Aug-20,34,17808
England,27-Aug-20,1350,285505
Northern Ireland,27-Aug-20,69,6964
Scotland,27-Aug-20,68,20056
Wales,27-Aug-20,35,17843
England,28-Aug-20,1106,286611
Northern Ireland,28-Aug-20,85,7049
Scotland,28-Aug-20,51,20107
Wales,28-Aug-20,34,17877
England,29-Aug-20,891,287502
Northern Ireland,29-Aug-20,89,7138
Scotland,29-Aug-20,88,20195
Wales,29-Aug-20,40,17917
England,30-Aug-20,1487,288989
Northern Ireland,30-Aug-20,49,7187
Scotland,30-Aug-20,123,20318
Wales,30-Aug-20,56,17973
England,31-Aug-20,1149,290138
Northern Ireland,31-Aug-20,58,7245
Scotland,31-Aug-20,160,20478
Wales,31-Aug-20,39,18012
England,01-Sep-20,1041,291179
Northern Ireland,01-Sep-20,49,7294
Scotland,01-Sep-20,154,20632
Wales,01-Sep-20,51,18063
England,02-Sep-20,1239,292418
Northern Ireland,02-Sep-20,71,7365
Scotland,02-Sep-20,156,20788
Wales,02-Sep-20,42,18105
England,03-Sep-20,1507,293925
Northern Ireland,03-Sep-20,77,7442
Scotland,03-Sep-20,101,20889
Wales,03-Sep-20,50,18155
England,04-Sep-20,1669,295594
Northern Ireland,04-Sep-20,61,7503
Scotland,04-Sep-20,159,21048
Wales,04-Sep-20,51,18206
England,05-Sep-20,1477,297071
Northern Ireland,05-Sep-20,118,7621
Scotland,05-Sep-20,141,21189
Wales,05-Sep-20,77,18283
England,06-Sep-20,2576,299647
Northern Ireland,06-Sep-20,106,7727
Scotland,06-Sep-20,208,21397
Wales,06-Sep-20,98,18381
England,07-Sep-20,2528,302175
Northern Ireland,07-Sep-20,141,7868
Scotland,07-Sep-20,146,21543
Wales,07-Sep-20,133,18514
England,08-Sep-20,2094,304269
Northern Ireland,08-Sep-20,40,7908
Scotland,08-Sep-20,176,21719
Wales,08-Sep-20,150,18664
England,09-Sep-20,2286,306555
Northern Ireland,09-Sep-20,49,7957
Scotland,09-Sep-20,159,21878
Wales,09-Sep-20,165,18829
England,10-Sep-20,2578,309133
Northern Ireland,10-Sep-20,78,8035
Scotland,10-Sep-20,161,22039
Wales,10-Sep-20,102,18931
England,11-Sep-20,3143,312276
Northern Ireland,11-Sep-20,88,8123
Scotland,11-Sep-20,175,22214
Wales,11-Sep-20,133,19064
England,12-Sep-20,3008,315284
Northern Ireland,12-Sep-20,104,8227
Scotland,12-Sep-20,221,22435
Wales,12-Sep-20,164,19228
England,13-Sep-20,2837,318121
Northern Ireland,13-Sep-20,87,8314
Scotland,13-Sep-20,244,22679
Wales,13-Sep-20,162,19390
England,14-Sep-20,2259,320380
Northern Ireland,14-Sep-20,109,8423
Scotland,14-Sep-20,70,22749
Wales,14-Sep-20,183,19573
England,15-Sep-20,2649,323029
Northern Ireland,15-Sep-20,79,8502
Scotland,15-Sep-20,267,23016
Wales,15-Sep-20,110,19681
England,16-Sep-20,3396,326425
Northern Ireland,16-Sep-20,129,8631
Scotland,16-Sep-20,267,23283
Wales,16-Sep-20,199,19880
England,17-Sep-20,2788,329213
Northern Ireland,17-Sep-20,149,8780
Scotland,17-Sep-20,290,23573
Wales,17-Sep-20,168,20048
England,18-Sep-20,3771,332984
Northern Ireland,18-Sep-20,163,8943
Scotland,18-Sep-20,203,23776
Wales,18-Sep-20,185,20233
England,19-Sep-20,3638,336622
Northern Ireland,19-Sep-20,222,9165
Scotland,19-Sep-20,350,24126
Wales,19-Sep-20,212,20445
England,20-Sep-20,3279,339901
Northern Ireland,20-Sep-20,176,9341
Scotland,20-Sep-20,245,24371
Wales,20-Sep-20,199,20644
England,21-Sep-20,3754,343655
Northern Ireland,21-Sep-20,125,9466
Scotland,21-Sep-20,255,24626
Wales,21-Sep-20,234,20878
England,22-Sep-20,4187,347842
Northern Ireland,22-Sep-20,75,9541
Scotland,22-Sep-20,383,25009
Wales,22-Sep-20,281,21159
England,23-Sep-20,5083,352925
Northern Ireland,23-Sep-20,220,9761
Scotland,23-Sep-20,486,25495
Wales,23-Sep-20,389,21548
England,24-Sep-20,5632,358557
Northern Ireland,24-Sep-20,189,9950
Scotland,24-Sep-20,465,25960
