"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","65_to_69","958","581.4","80_to_84","1387","2116.6","","","","",""
"","","","","","","15_to_19","745","284.2","5_to_9","307","126.5","","","","",""
"","","","","","","55_to_59","1691","589.4","65_to_69","1343","906.5","","","","",""
"","","","","","","85_to_89","1262","2269.6","15_to_19","695","252.3","","","","",""
"","","","","","","40_to_44","1755","465.4","45_to_49","1776","524.7","","","","",""
"","","","","","","35_to_39","1871","458.2","55_to_59","1914","683.3","","","","",""
"","","","","","","20_to_24","1709","752.9","85_to_89","1129","2982.3","","","","",""
"","","region","London","E12000007","2020-09-27","40_to_44","1735","460.1","0_to_4","345","111.1","","","","",""
"","","","","","","50_to_54","1929","653.1","50_to_54","1795","595.8","","","","",""
"","","","","","","80_to_84","1177","1380.1","90+","743","3772","","","","",""
"","","","","","","45_to_49","1902","589.6","45_to_49","1747","516.2","","","","",""
"","","","","","","10_to_14","370","125.8","5_to_9","299","123.2","","","","",""
"","","","","","","85_to_89","1260","2266","55_to_59","1896","676.9","","","","",""
"","","","","","","20_to_24","1674","737.4","40_to_44","1637","404.8","","","","",""
"","","","","","","25_to_29","2743","972.9","25_to_29","1932","681.5","","","","",""
"","","","","","","60_to_64","1253","626.3","85_to_89","1127","2977","","","","",""
"","","","","","","35_to_39","1841","450.9","10_to_14","374","121.1","","","","",""
"","","","","","","90+","1341","3551.6","60_to_64","1694","886.9","","","","",""
"","","","","","","30_to_34","2302","596.7","20_to_24","1219","506.7","","","","",""
"","","","","","","75_to_79","1014","951","35_to_39","1793","417.2","","","","",""
"","","","","","","0_to_4","268","90.7","15_to_19","674","244.7","","","","",""
"","","","","","","5_to_9","257","101.7","30_to_34","2046","532.5","","","","",""
"","","","","","","70_to_74","923","630.6","70_to_74","1315","1034","","","","",""
"","","","","","","65_to_69","947","574.7","80_to_84","1384","2112","","","","",""
"","","","","","","15_to_19","703","268.2","75_to_79","1320","1522.7","","","","",""
"","","","","","","55_to_59","1674","583.5","65_to_69","1327","895.7","","","","",""
"","","region","London","E12000007","2020-09-26","65_to_69","943","572.3","55_to_59","1877","670.1","","","","",""
"","","","","","","90+","1340","3548.9","65_to_69","1324","893.7","","","","",""
"","","","","","","55_to_59","1666","580.7","5_to_9","294","121.1","","","","",""
"","","","","","","80_to_84","1177","1380.1","70_to_74","1313","1032.5","","","","",""
"","","","","","","40_to_44","1713","454.3","50_to_54","1776","589.5","","","","",""
"","","","","","","25_to_29","2699","957.3","10_to_14","359","116.3","","","","",""
"","","","","","","0_to_4","265","89.6","20_to_24","1192","495.4","","","","",""
"","","","","","","20_to_24","1651","727.3","85_to_89","1125","2971.7","","","","",""
"","","","","","","75_to_79","1012","949.1","0_to_4","337","108.6","","","","",""
"","","","","","","10_to_14","361","122.7","60_to_64","1683","881.1","","","","",""
"","","","","","","15_to_19","675","257.5","45_to_49","1731","511.4","","","","",""
"","","","","","","5_to_9","248","98.1","15_to_19","640","232.3","","","","",""
"","","","","","","70_to_74","921","629.2","30_to_34","2018","525.2","","","","",""
"","","","","","","50_to_54","1910","646.7","90+","743","3772","","","","",""
"","","","","","","85_to_89","1260","2266","80_to_84","1381","2107.4","","","","",""
"","","","","","","35_to_39","1817","445","25_to_29","1907","672.7","","","","",""
"","","","","","","45_to_49","1885","584.4","40_to_44","1620","400.6","","","","",""
"","","","","","","30_to_34","2270","588.4","75_to_79","1320","1522.7","","","","",""
"","","","","","","60_to_64","1243","621.3","35_to_39","1764","410.4","","","","",""
"","","region","London","E12000007","2020-09-25","20_to_24","1607","707.9","0_to_4","332","107","","","","",""
"","","","","","","15_to_19","649","247.6","90+","742","3766.9","","","","",""
"","","","","","","10_to_14","341","115.9","5_to_9","290","119.5","","","","",""
"","","","","","","70_to_74","915","625.1","35_to_39","1727","401.8","","","","",""
"","","","","","","5_to_9","245","96.9","25_to_29","1881","663.5","","","","",""
"","","","","","","90+","1339","3546.3","85_to_89","1123","2966.4","","","","",""
"","","","","","","45_to_49","1856","575.4","65_to_69","1316","888.3","","","","",""
"","","","","","","60_to_64","1235","617.3","40_to_44","1600","395.6","","","","",""
"","","","","","","25_to_29","2659","943.1","30_to_34","1991","518.2","","","","",""
"","","","","","","35_to_39","1794","439.4","15_to_19","620","225.1","","","","",""
"","","","","","","55_to_59","1654","576.5","45_to_49","1716","507","","","","",""
"","","","","","","0_to_4","258","87.3","70_to_74","1309","1029.3","","","","",""
"","","","","","","80_to_84","1174","1376.6","20_to_24","1154","479.6","","","","",""
"","","","","","","85_to_89","1257","2260.6","50_to_54","1763","585.2","","","","",""
"","","","","","","65_to_69","936","568.1","80_to_84","1380","2105.9","","","","",""
"","","","","","","75_to_79","1009","946.3","75_to_79","1319","1521.6","","","","",""
"","","","","","","30_to_34","2241","580.9","10_to_14","346","112","","","","",""
"","","","","","","40_to_44","1698","450.3","55_to_59","1868","666.9","","","","",""
"","","","","","","50_to_54","1892","640.6","60_to_64","1680","879.5","","","","",""
"","","region","London","E12000007","2020-09-24","15_to_19","631","240.7","5_to_9","282","116.2","","","","",""
"","","","","","","0_to_4","252","85.2","65_to_69","1306","881.5","","","","",""
"","","","","","","5_to_9","237","93.8","10_to_14","329","106.5","","","","",""
"","","","","","","90+","1337","3541","15_to_19","594","215.6","","","","",""
"","","","","","","30_to_34","2199","570","50_to_54","1745","579.2","","","","",""
"","","","","","","80_to_84","1172","1374.2","30_to_34","1952","508","","","","",""
"","","","","","","60_to_64","1227","613.3","85_to_89","1120","2958.5","","","","",""
"","","","","","","65_to_69","928","563.2","45_to_49","1701","502.6","","","","",""
"","","","","","","10_to_14","325","110.5","40_to_44","1579","390.4","","","","",""
"","","","","","","35_to_39","1766","432.5","55_to_59","1851","660.8","","","","",""
"","","","","","","25_to_29","2610","925.7","25_to_29","1846","651.2","","","","",""
"","","","","","","45_to_49","1839","570.1","90+","742","3766.9","","","","",""
"","","","","","","70_to_74","912","623.1","80_to_84","1377","2101.3","","","","",""
"","","","","","","20_to_24","1573","692.9","70_to_74","1307","1027.8","","","","",""
"","","","","","","40_to_44","1676","444.4","35_to_39","1692","393.7","","","","",""
"","","","","","","50_to_54","1879","636.2","20_to_24","1118","464.7","","","","",""
"","","","","","","85_to_89","1255","2257","75_to_79","1314","1515.8","","","","",""
"","","","","","","55_to_59","1637","570.6","60_to_64","1674","876.4","","","","",""
"","","","","","","75_to_79","1007","944.4","0_to_4","325","104.7","","","","",""
"","","region","London","E12000007","2020-09-23","25_to_29","2558","907.2","70_to_74","1305","1026.2","","","","",""
"","","","","","","45_to_49","1813","562","30_to_34","1915","498.4","","","","",""
"","","","","","","50_to_54","1854","627.7","65_to_69","1303","879.5","","","","",""
"","","","","","","90+","1336","3538.3","60_to_64","1660","869.1","","","","",""
"","","","","","","55_to_59","1622","565.3","45_to_49","1684","497.6","","","","",""
"","","","","","","10_to_14","314","106.7","40_to_44","1558","385.2","","","","",""
"","","","","","","85_to_89","1255","2257","90+","741","3761.8","","","","",""
"","","","","","","0_to_4","249","84.2","35_to_39","1648","383.5","","","","",""
"","","","","","","65_to_69","923","560.2","80_to_84","1376","2099.8","","","","",""
"","","","","","","30_to_34","2169","562.2","85_to_89","1118","2953.2","","","","",""
"","","","","","","15_to_19","605","230.8","50_to_54","1729","573.9","","","","",""
"","","","","","","75_to_79","1004","941.6","10_to_14","317","102.7","","","","",""
"","","","","","","70_to_74","911","622.4","55_to_59","1836","655.5","","","","",""
"","","","","","","40_to_44","1651","437.8","0_to_4","321","103.4","","","","",""
"","","","","","","35_to_39","1741","426.4","25_to_29","1811","638.9","","","","",""
"","","","","","","60_to_64","1217","608.3","5_to_9","275","113.3","","","","",""
"","","","","","","5_to_9","235","93","75_to_79","1313","1514.6","","","","",""
"","","","","","","80_to_84","1168","1369.5","15_to_19","573","208","","","","",""
"","","","","","","20_to_24","1538","677.5","20_to_24","1083","450.1","","","","",""
"","","region","London","E12000007","2020-09-22","20_to_24","1497","659.5","85_to_89","1113","2940","","","","",""
"","","","","","","85_to_89","1251","2249.8","0_to_4","310","99.9","","","","",""
"","","","","","","10_to_14","303","103","60_to_64","1651","864.3","","","","",""
"","","","","","","65_to_69","918","557.1","25_to_29","1755","619.1","","","","",""
"","","","","","","50_to_54","1831","619.9","20_to_24","1043","433.5","","","","",""
"","","","","","","0_to_4","242","81.9","5_to_9","264","108.8","","","","",""
"","","","","","","90+","1334","3533","15_to_19","550","199.7","","","","",""
"","","","","","","5_to_9","230","91","50_to_54","1717","569.9","","","","",""
"","","","","","","55_to_59","1604","559.1","40_to_44","1532","378.8","","","","",""
"","","","","","","80_to_84","1164","1364.8","80_to_84","1375","2098.2","","","","",""
"","","","","","","25_to_29","2502","887.4","75_to_79","1308","1508.9","","","","",""
"","","","","","","60_to_64","1207","603.3","35_to_39","1620","376.9","","","","",""
"","","","","","","75_to_79","999","936.9","65_to_69","1298","876.1","","","","",""
"","","","","","","70_to_74","907","619.6","10_to_14","300","97.1","","","","",""
"","","","","","","15_to_19","576","219.7","45_to_49","1660","490.5","","","","",""
"","","","","","","45_to_49","1798","557.4","70_to_74","1305","1026.2","","","","",""
"","","","","","","30_to_34","2130","552.1","30_to_34","1878","488.8","","","","",""
"","","","","","","35_to_39","1715","420","90+","740","3756.7","","","","",""
"","","","","","","40_to_44","1635","433.6","55_to_59","1823","650.8","","","","",""
"","","region","London","E12000007","2020-09-21","55_to_59","1596","556.3","5_to_9","263","108.4","","","","",""
"","","","","","","70_to_74","903","616.9","65_to_69","1294","873.4","","","","",""
"","","","","","","80_to_84","1159","1359","90+","740","3756.7","","","","",""
"","","","","","","75_to_79","996","934.1","85_to_89","1110","2932.1","","","","",""
"","","","","","","20_to_24","1460","643.2","25_to_29","1724","608.2","","","","",""
"","","","","","","85_to_89","1248","2244.4","50_to_54","1701","564.6","","","","",""
"","","","","","","35_to_39","1698","415.8","0_to_4","306","98.6","","","","",""
"","","","","","","15_to_19","556","212.1","20_to_24","1018","423.1","","","","",""
"","","","","","","50_to_54","1811","613.2","40_to_44","1515","374.6","","","","",""
"","","","","","","40_to_44","1618","429.1","75_to_79","1304","1504.3","","","","",""
"","","","","","","0_to_4","238","80.5","60_to_64","1642","859.6","","","","",""
"","","","","","","60_to_64","1194","596.8","30_to_34","1849","481.2","","","","",""
"","","","","","","25_to_29","2463","873.6","55_to_59","1815","648","","","","",""
"","","","","","","90+","1332","3527.7","10_to_14","290","93.9","","","","",""
"","","","","","","65_to_69","911","552.9","15_to_19","532","193.1","","","","",""
"","","","","","","45_to_49","1774","549.9","80_to_84","1374","2096.7","","","","",""
"","","","","","","10_to_14","295","100.3","35_to_39","1589","369.7","","","","",""
"","","","","","","5_to_9","226","89.4","45_to_49","1641","484.9","","","","",""
"","","","","","","30_to_34","2091","542","70_to_74","1300","1022.3","","","","",""
"","","region","London","E12000007","2020-09-20","35_to_39","1681","411.7","25_to_29","1692","596.9","","","","",""
"","","","","","","30_to_34","2069","536.3","65_to_69","1287","868.7","","","","",""
"","","","","","","50_to_54","1795","607.7","0_to_4","302","97.3","","","","",""
"","","","","","","65_to_69","905","549.2","15_to_19","518","188.1","","","","",""
"","","","","","","75_to_79","996","934.1","80_to_84","1374","2096.7","","","","",""
"","","","","","","20_to_24","1428","629.1","20_to_24","1001","416","","","","",""
"","","","","","","85_to_89","1243","2235.5","40_to_44","1501","371.2","","","","",""
"","","","","","","80_to_84","1156","1355.5","75_to_79","1302","1502","","","","",""
"","","","","","","25_to_29","2432","862.6","10_to_14","276","89.4","","","","",""
"","","","","","","10_to_14","285","96.9","5_to_9","253","104.2","","","","",""
"","","","","","","5_to_9","226","89.4","30_to_34","1819","473.4","","","","",""
"","","","","","","60_to_64","1184","591.8","55_to_59","1809","645.8","","","","",""
"","","","","","","55_to_59","1586","552.8","90+","737","3741.5","","","","",""
"","","","","","","0_to_4","234","79.2","35_to_39","1571","365.5","","","","",""
"","","","","","","45_to_49","1754","543.7","50_to_54","1690","561","","","","",""
"","","","","","","15_to_19","544","207.5","70_to_74","1298","1020.7","","","","",""
"","","","","","","70_to_74","900","614.9","85_to_89","1110","2932.1","","","","",""
"","","","","","","40_to_44","1601","424.6","45_to_49","1629","481.3","","","","",""
"","","","","","","90+","1332","3527.7","60_to_64","1637","857","","","","",""
"","","region","London","E12000007","2020-09-19","15_to_19","523","199.5","90+","736","3736.4","","","","",""
"","","","","","","60_to_64","1180","589.8","60_to_64","1628","852.3","","","","",""
"","","","","","","75_to_79","995","933.2","20_to_24","979","406.9","","","","",""
"","","","","","","0_to_4","229","77.5","40_to_44","1486","367.4","","","","",""
"","","","","","","65_to_69","904","548.6","35_to_39","1556","362","","","","",""
"","","","","","","80_to_84","1154","1353.1","50_to_54","1678","557","","","","",""
"","","","","","","70_to_74","898","613.5","30_to_34","1793","466.7","","","","",""
"","","","","","","55_to_59","1579","550.4","45_to_49","1615","477.2","","","","",""
"","","","","","","85_to_89","1240","2230.1","75_to_79","1300","1499.6","","","","",""
"","","","","","","35_to_39","1658","406","55_to_59","1797","641.5","","","","",""
"","","","","","","40_to_44","1584","420","80_to_84","1372","2093.7","","","","",""
"","","","","","","10_to_14","274","93.1","85_to_89","1109","2929.4","","","","",""
"","","","","","","50_to_54","1782","603.3","10_to_14","267","86.5","","","","",""
"","","","","","","5_to_9","218","86.3","0_to_4","297","95.7","","","","",""
"","","","","","","25_to_29","2400","851.2","15_to_19","508","184.4","","","","",""
"","","","","","","45_to_49","1739","539.1","25_to_29","1669","588.8","","","","",""
"","","","","","","20_to_24","1407","619.8","70_to_74","1291","1015.2","","","","",""
"","","","","","","30_to_34","2046","530.3","5_to_9","247","101.8","","","","",""
"","","","","","","90+","1330","3522.4","65_to_69","1282","865.3","","","","",""
"","","region","London","E12000007","2020-09-18","65_to_69","902","547.4","20_to_24","962","399.8","","","","",""
"","","","","","","25_to_29","2381","844.5","70_to_74","1288","1012.8","","","","",""
"","","","","","","5_to_9","210","83.1","75_to_79","1297","1496.2","","","","",""
"","","","","","","35_to_39","1645","402.9","40_to_44","1477","365.2","","","","",""
"","","","","","","60_to_64","1173","586.3","0_to_4","291","93.7","","","","",""
"","","","","","","45_to_49","1722","533.8","50_to_54","1667","553.4","","","","",""
"","","","","","","20_to_24","1390","612.3","60_to_64","1622","849.2","","","","",""
"","","","","","","40_to_44","1567","415.5","80_to_84","1371","2092.1","","","","",""
"","","","","","","15_to_19","511","194.9","90+","735","3731.3","","","","",""
"","","","","","","55_to_59","1569","546.9","35_to_39","1547","360","","","","",""
"","","","","","","10_to_14","262","89.1","25_to_29","1643","579.6","","","","",""
"","","","","","","80_to_84","1150","1348.4","15_to_19","498","180.8","","","","",""
"","","","","","","90+","1330","3522.4","85_to_89","1108","2926.8","","","","",""
"","","","","","","75_to_79","991","929.4","30_to_34","1776","462.2","","","","",""
"","","","","","","50_to_54","1768","598.6","55_to_59","1788","638.3","","","","",""
"","","","","","","30_to_34","2031","526.5","45_to_49","1603","473.6","","","","",""
"","","","","","","0_to_4","225","76.1","10_to_14","257","83.2","","","","",""
"","","","","","","85_to_89","1240","2230.1","5_to_9","238","98.1","","","","",""
"","","","","","","70_to_74","896","612.1","65_to_69","1280","864","","","","",""
"","","region","London","E12000007","2020-09-17","65_to_69","898","545","30_to_34","1760","458.1","","","","",""
"","","","","","","90+","1329","3519.8","85_to_89","1108","2926.8","","","","",""
"","","","","","","5_to_9","205","81.1","10_to_14","249","80.6","","","","",""
"","","","","","","35_to_39","1626","398.2","80_to_84","1370","2090.6","","","","",""
"","","","","","","10_to_14","249","84.6","65_to_69","1276","861.3","","","","",""
"","","","","","","80_to_84","1148","1346.1","15_to_19","487","176.8","","","","",""
"","","","","","","50_to_54","1752","593.2","20_to_24","938","389.9","","","","",""
"","","","","","","60_to_64","1166","582.8","75_to_79","1295","1493.9","","","","",""
"","","","","","","75_to_79","989","927.6","70_to_74","1288","1012.8","","","","",""
"","","","","","","30_to_34","2009","520.8","40_to_44","1460","361","","","","",""
"","","","","","","15_to_19","499","190.3","90+","732","3716.1","","","","",""
"","","","","","","25_to_29","2348","832.8","35_to_39","1530","356","","","","",""
"","","","","","","20_to_24","1357","597.8","45_to_49","1594","471","","","","",""
"","","","","","","55_to_59","1557","542.7","0_to_4","286","92.1","","","","",""
"","","","","","","40_to_44","1556","412.6","5_to_9","233","96","","","","",""
"","","","","","","85_to_89","1240","2230.1","60_to_64","1616","846","","","","",""
"","","","","","","70_to_74","895","611.4","50_to_54","1659","550.7","","","","",""
"","","","","","","45_to_49","1712","530.7","55_to_59","1782","636.2","","","","",""
"","","","","","","0_to_4","222","75.1","25_to_29","1617","570.4","","","","",""
"","","region","London","E12000007","2020-09-16","75_to_79","989","927.6","10_to_14","243","78.7","","","","",""
"","","","","","","80_to_84","1145","1342.6","25_to_29","1599","564.1","","","","",""
"","","","","","","50_to_54","1737","588.1","55_to_59","1775","633.7","","","","",""
"","","","","","","5_to_9","200","79.1","40_to_44","1445","357.3","","","","",""
"","","","","","","90+","1329","3519.8","45_to_49","1584","468","","","","",""
"","","","","","","45_to_49","1701","527.3","80_to_84","1369","2089.1","","","","",""
"","","","","","","35_to_39","1609","394","30_to_34","1742","453.4","","","","",""
"","","","","","","40_to_44","1541","408.6","75_to_79","1293","1491.6","","","","",""
"","","","","","","60_to_64","1160","579.8","90+","731","3711","","","","",""
"","","","","","","10_to_14","243","82.6","65_to_69","1272","858.6","","","","",""
"","","","","","","25_to_29","2316","821.4","35_to_39","1513","352","","","","",""
"","","","","","","55_to_59","1547","539.2","50_to_54","1653","548.7","","","","",""
"","","","","","","85_to_89","1237","2224.7","5_to_9","228","93.9","","","","",""
"","","","","","","65_to_69","896","543.8","15_to_19","481","174.6","","","","",""
"","","","","","","70_to_74","895","611.4","70_to_74","1288","1012.8","","","","",""
"","","","","","","20_to_24","1334","587.7","60_to_64","1611","843.4","","","","",""
"","","","","","","0_to_4","217","73.4","85_to_89","1107","2924.2","","","","",""
"","","","","","","15_to_19","492","187.7","20_to_24","926","384.9","","","","",""
"","","","","","","30_to_34","1993","516.6","0_to_4","280","90.2","","","","",""
"","","region","London","E12000007","2020-09-15","50_to_54","1725","584","0_to_4","278","89.6","","","","",""
"","","","","","","0_to_4","216","73.1","20_to_24","914","379.9","","","","",""
"","","","","","","75_to_79","986","924.8","55_to_59","1765","630.1","","","","",""
"","","","","","","20_to_24","1315","579.3","70_to_74","1285","1010.5","","","","",""
"","","","","","","55_to_59","1537","535.7","40_to_44","1433","354.3","","","","",""
"","","","","","","60_to_64","1156","577.8","90+","731","3711","","","","",""
"","","","","","","10_to_14","241","81.9","25_to_29","1577","556.3","","","","",""
"","","","","","","45_to_49","1689","523.6","45_to_49","1568","463.3","","","","",""
"","","","","","","80_to_84","1143","1340.2","10_to_14","235","76.1","","","","",""
"","","","","","","70_to_74","891","608.7","60_to_64","1607","841.3","","","","",""
"","","","","","","30_to_34","1977","512.5","35_to_39","1504","349.9","","","","",""
"","","","","","","90+","1328","3517.1","30_to_34","1726","449.2","","","","",""
"","","","","","","65_to_69","893","542","85_to_89","1107","2924.2","","","","",""
"","","","","","","25_to_29","2291","812.6","65_to_69","1266","854.5","","","","",""
"","","","","","","40_to_44","1532","406.3","15_to_19","474","172.1","","","","",""
"","","","","","","15_to_19","481","183.5","80_to_84","1369","2089.1","","","","",""
"","","","","","","35_to_39","1595","390.6","75_to_79","1291","1489.3","","","","",""
"","","","","","","85_to_89","1237","2224.7","50_to_54","1644","545.7","","","","",""
"","","","","","","5_to_9","198","78.3","5_to_9","225","92.7","","","","",""
"","","region","London","E12000007","2020-09-14","25_to_29","2270","805.1","10_to_14","227","73.5","","","","",""
"","","","","","","20_to_24","1300","572.7","60_to_64","1602","838.7","","","","",""
"","","","","","","40_to_44","1519","402.8","5_to_9","224","92.3","","","","",""
"","","","","","","90+","1327","3514.5","75_to_79","1288","1485.8","","","","",""
"","","","","","","65_to_69","893","542","40_to_44","1427","352.9","","","","",""
"","","","","","","45_to_49","1678","520.2","45_to_49","1555","459.4","","","","",""
"","","","","","","15_to_19","474","180.8","20_to_24","907","377","","","","",""
"","","","","","","55_to_59","1528","532.6","30_to_34","1713","445.8","","","","",""
"","","","","","","70_to_74","890","608","90+","730","3706","","","","",""
"","","","","","","80_to_84","1142","1339","80_to_84","1368","2087.6","","","","",""
"","","","","","","35_to_39","1575","385.7","55_to_59","1761","628.7","","","","",""
"","","","","","","5_to_9","192","76","70_to_74","1277","1004.2","","","","",""
"","","","","","","60_to_64","1148","573.8","65_to_69","1264","853.2","","","","",""
"","","","","","","10_to_14","234","79.5","50_to_54","1641","544.7","","","","",""
"","","","","","","30_to_34","1959","507.8","0_to_4","274","88.3","","","","",""
"","","","","","","75_to_79","986","924.8","15_to_19","466","169.2","","","","",""
"","","","","","","50_to_54","1717","581.3","85_to_89","1105","2918.9","","","","",""
"","","","","","","0_to_4","213","72.1","25_to_29","1563","551.4","","","","",""
"","","","","","","85_to_89","1234","2219.3","35_to_39","1491","346.9","","","","",""
"","","region","London","E12000007","2020-09-13","0_to_4","211","71.4","60_to_64","1599","837.1","","","","",""
"","","","","","","10_to_14","231","78.5","70_to_74","1273","1001","","","","",""
"","","","","","","30_to_34","1940","502.9","75_to_79","1287","1484.7","","","","",""
"","","","","","","45_to_49","1666","516.5","80_to_84","1367","2086","","","","",""
"","","","","","","55_to_59","1521","530.1","20_to_24","892","370.7","","","","",""
"","","","","","","15_to_19","466","177.8","85_to_89","1103","2913.6","","","","",""
"","","","","","","20_to_24","1283","565.2","40_to_44","1409","348.4","","","","",""
"","","","","","","70_to_74","888","606.7","25_to_29","1543","544.3","","","","",""
"","","","","","","60_to_64","1144","571.8","0_to_4","269","86.7","","","","",""
"","","","","","","50_to_54","1707","577.9","50_to_54","1637","543.4","","","","",""
"","","","","","","85_to_89","1231","2213.9","15_to_19","458","166.3","","","","",""
"","","","","","","40_to_44","1511","400.7","90+","730","3706","","","","",""
"","","","","","","65_to_69","890","540.1","55_to_59","1760","628.3","","","","",""
"","","","","","","5_to_9","185","73.2","30_to_34","1693","440.6","","","","",""
"","","","","","","35_to_39","1560","382","10_to_14","220","71.2","","","","",""
"","","","","","","80_to_84","1139","1335.5","35_to_39","1476","343.4","","","","",""
"","","","","","","25_to_29","2247","796.9","65_to_69","1260","850.5","","","","",""
"","","","","","","75_to_79","983","921.9","45_to_49","1544","456.2","","","","",""
"","","","","","","90+","1326","3511.8","5_to_9","218","89.8","","","","",""
"","","region","London","E12000007","2020-09-12","50_to_54","1703","576.6","30_to_34","1687","439.1","","","","",""
"","","","","","","35_to_39","1558","381.6","45_to_49","1537","454.1","","","","",""
"","","","","","","55_to_59","1519","529.4","25_to_29","1537","542.2","","","","",""
"","","","","","","0_to_4","211","71.4","50_to_54","1634","542.4","","","","",""
"","","","","","","80_to_84","1138","1334.3","85_to_89","1103","2913.6","","","","",""
"","","","","","","30_to_34","1936","501.8","10_to_14","216","69.9","","","","",""
"","","","","","","45_to_49","1659","514.3","80_to_84","1366","2084.5","","","","",""
"","","","","","","5_to_9","181","71.6","70_to_74","1271","999.4","","","","",""
"","","","","","","60_to_64","1139","569.3","90+","730","3706","","","","",""
"","","","","","","65_to_69","890","540.1","35_to_39","1472","342.5","","","","",""
"","","","","","","70_to_74","888","606.7","65_to_69","1257","848.4","","","","",""
"","","","","","","90+","1325","3509.2","5_to_9","217","89.4","","","","",""
"","","","","","","15_to_19","462","176.2","40_to_44","1403","346.9","","","","",""
"","","","","","","40_to_44","1507","399.6","0_to_4","268","86.3","","","","",""
"","","","","","","10_to_14","229","77.8","20_to_24","886","368.2","","","","",""
"","","","","","","25_to_29","2244","795.9","75_to_79","1285","1482.3","","","","",""
"","","","","","","20_to_24","1274","561.2","15_to_19","455","165.2","","","","",""
"","","","","","","85_to_89","1231","2213.9","55_to_59","1759","628","","","","",""
"","","","","","","75_to_79","980","919.1","60_to_64","1598","836.6","","","","",""
"","","region","London","E12000007","2020-09-11","75_to_79","977","916.3","50_to_54","1624","539.1","","","","",""
"","","","","","","15_to_19","451","172","45_to_49","1534","453.2","","","","",""
"","","","","","","60_to_64","1134","566.8","55_to_59","1758","627.6","","","","",""
"","","","","","","20_to_24","1263","556.4","60_to_64","1595","835","","","","",""
"","","","","","","65_to_69","886","537.7","25_to_29","1523","537.3","","","","",""
"","","","","","","90+","1323","3503.9","30_to_34","1671","434.9","","","","",""
"","","","","","","55_to_59","1510","526.3","20_to_24","870","361.6","","","","",""
"","","","","","","40_to_44","1498","397.2","40_to_44","1394","344.7","","","","",""
"","","","","","","35_to_39","1544","378.1","85_to_89","1103","2913.6","","","","",""
"","","","","","","50_to_54","1699","575.2","35_to_39","1462","340.2","","","","",""
"","","","","","","5_to_9","179","70.8","90+","730","3706","","","","",""
"","","","","","","85_to_89","1231","2213.9","0_to_4","266","85.7","","","","",""
"","","","","","","70_to_74","887","606","10_to_14","212","68.6","","","","",""
"","","","","","","30_to_34","1920","497.7","15_to_19","450","163.4","","","","",""
"","","","","","","0_to_4","207","70","80_to_84","1363","2079.9","","","","",""
"","","","","","","45_to_49","1654","512.7","5_to_9","213","87.8","","","","",""
"","","","","","","25_to_29","2230","790.9","75_to_79","1285","1482.3","","","","",""
"","","","","","","10_to_14","223","75.8","70_to_74","1266","995.5","","","","",""
"","","","","","","80_to_84","1137","1333.2","65_to_69","1253","845.7","","","","",""
"","","region","London","E12000007","2020-09-10","90+","1323","3503.9","15_to_19","440","159.7","","","","",""
"","","","","","","85_to_89","1231","2213.9","90+","728","3695.8","","","","",""
"","","","","","","30_to_34","1902","493","0_to_4","262","84.4","","","","",""
"","","","","","","10_to_14","214","72.7","55_to_59","1749","624.4","","","","",""
"","","","","","","80_to_84","1136","1332","30_to_34","1639","426.6","","","","",""
"","","","","","","5_to_9","174","68.8","80_to_84","1362","2078.4","","","","",""
"","","","","","","40_to_44","1490","395.1","20_to_24","849","352.9","","","","",""
"","","","","","","0_to_4","205","69.3","35_to_39","1446","336.5","","","","",""
"","","","","","","15_to_19","441","168.2","65_to_69","1251","844.4","","","","",""
"","","","","","","65_to_69","881","534.7","40_to_44","1382","341.7","","","","",""
"","","","","","","60_to_64","1128","563.8","25_to_29","1499","528.8","","","","",""
"","","","","","","45_to_49","1641","508.7","5_to_9","206","84.9","","","","",""
"","","","","","","50_to_54","1683","569.8","70_to_74","1266","995.5","","","","",""
"","","","","","","35_to_39","1527","374","45_to_49","1532","452.6","","","","",""
"","","","","","","75_to_79","975","914.4","60_to_64","1591","832.9","","","","",""
"","","","","","","20_to_24","1240","546.3","50_to_54","1615","536.1","","","","",""
"","","","","","","25_to_29","2210","783.8","75_to_79","1281","1477.7","","","","",""
"","","","","","","70_to_74","884","603.9","10_to_14","206","66.7","","","","",""
"","","","","","","55_to_59","1501","523.2","85_to_89","1103","2913.6","","","","",""
"","","region","London","E12000007","2020-09-09","25_to_29","2180","773.2","75_to_79","1279","1475.4","","","","",""
"","","","","","","35_to_39","1495","366.1","0_to_4","257","82.8","","","","",""
"","","","","","","30_to_34","1876","486.3","35_to_39","1423","331.1","","","","",""
"","","","","","","45_to_49","1629","505","25_to_29","1472","519.3","","","","",""
"","","","","","","60_to_64","1123","561.3","45_to_49","1520","449.1","","","","",""
"","","","","","","80_to_84","1130","1325","5_to_9","200","82.4","","","","",""
"","","","","","","55_to_59","1493","520.4","65_to_69","1246","841","","","","",""
"","","","","","","75_to_79","973","912.6","60_to_64","1584","829.3","","","","",""
"","","","","","","70_to_74","882","602.6","85_to_89","1099","2903","","","","",""
